filename,width,height,class,xmin,ymin,xmax,ymax
flir_20200823T164420.jpg,1080,1440,head,669,289,771,407
25.jpg,960,1280,head,396,430,517,611
flir_20200822T131727_174.jpg,480,640,head,134,66,192,133
flir_20200827T145015.jpg,480,640,head,94,2,300,228
flir_20200825T115104.jpg,480,640,head,138,114,182,170
flir_20200825T115104.jpg,480,640,head,304,70,361,137
flir_20200818T145903.jpg,640,480,head,190,142,225,188
flir_20200822T125529.jpg,1080,1440,head,633,138,753,329
flir_20200818T150500.jpg,480,640,head,184,157,275,278
flir_20200822T131404_38.jpg,480,640,head,118,76,167,135
flir_20200822T131404_38.jpg,480,640,head,362,95,412,159
flir_20200818T144548.jpg,480,640,head,272,148,339,221
66.jpg,960,1280,head,298,53,540,337
flir_20200822T132353_403.jpg,480,640,head,190,57,330,205
167.jpg,480,640,head,29,87,96,177
flir_20200813T191644.jpg,1080,1440,head,494,257,666,519
flir_20200823T170927.jpg,1080,1440,head,266,148,366,274
flir_20200822T132845_466.jpg,480,640,head,354,246,420,299
flir_20200814T171802.jpg,1080,1440,head,389,394,524,560
flir_20200822T131727_190.jpg,480,640,head,214,50,289,148
129.jpg,480,640,head,77,314,131,372
flir_20200818T150537.jpg,480,640,head,127,53,320,315
29.jpg,960,1280,head,274,246,452,438
83.jpg,960,1280,head,357,277,598,567
flir_20200822T132845_481.jpg,480,640,head,184,195,248,245
flir_20200822T132845_481.jpg,480,640,head,327,275,394,352
flir_20200812T105215.jpg,1440,1080,head,235,66,873,823
flir_20200827T184118.jpg,480,640,head,246,205,341,317
flir_20200814T164956.jpg,1080,1440,head,529,344,656,512
flir_20200823T170917.jpg,1080,1440,head,366,110,526,289
flir_20200823T170917.jpg,1080,1440,head,112,230,223,365
flir_20200823T164055.jpg,1080,1440,head,786,198,910,383
flir_20200827T181916.jpg,480,640,head,137,131,261,281
flir_20200827T181744.jpg,480,640,head,189,125,292,258
flir_20200813T191537.jpg,1080,1440,head,376,353,568,642
22.jpg,960,1280,head,734,402,849,544
flir_20200822T125659.jpg,1080,1440,head,502,228,629,379
flir_20200823T170116.jpg,1080,1440,head,409,95,566,287
38.jpg,960,1280,head,310,392,487,618
flir_20200813T191550.jpg,1080,1440,head,377,206,645,551
flir_20200822T132845_907.jpg,480,640,head,241,248,300,319
149.jpg,480,640,head,158,213,191,258
flir_20200813T191354.jpg,1080,1440,head,606,213,763,422
92.jpg,960,1280,head,136,8,415,314
92.jpg,960,1280,head,610,473,884,842
flir_20200826T103936.jpg,1080,1440,head,264,82,724,710
49.jpg,960,1280,head,225,1,751,426
flir_20200825T115317.jpg,480,640,head,296,1,402,83
143.jpg,480,640,head,97,266,180,367
flir_20200814T165057.jpg,1080,1440,head,153,433,397,725
flir_20200814T165057.jpg,1080,1440,head,569,87,932,504
flir_20200822T132845_243.jpg,480,640,head,315,108,375,179
flir_20200822T132845_243.jpg,480,640,head,443,148,480,206
142.jpg,480,640,head,344,22,456,161
flir_20200823T162054.jpg,1080,1440,head,574,75,689,222
flir_20200823T162054.jpg,1080,1440,head,983,180,1080,294
flir_20200826T104056.jpg,1080,1440,head,414,121,645,401
115.jpg,1080,1440,head,413,455,751,821
flir_20200822T132845_652.jpg,480,640,head,15,181,100,274
flir_20200811T115039.jpg,1080,1440,head,484,214,642,418
flir_20200818T150600.jpg,480,640,head,236,205,270,243
flir_20200825T114901.jpg,480,640,head,302,155,373,237
flir_20200824T113933.jpg,480,640,head,166,173,326,388
flir_20200824T154523.jpg,480,640,head,387,15,419,52
flir_20200813T193748.jpg,1080,1440,head,551,103,812,400
flir_20200814T165102.jpg,1080,1440,head,218,259,441,472
flir_20200822T130233.jpg,1080,1440,head,402,153,591,416
flir_20200822T132032_336.jpg,480,640,head,52,1,187,117
flir_20200822T132032_336.jpg,480,640,head,372,81,475,185
flir_20200811T115110.jpg,1080,1440,head,541,327,721,497
55.jpg,960,1280,head,352,441,484,615
flir_20200822T132845_341.jpg,480,640,head,219,254,277,314
flir_20200822T132845_341.jpg,480,640,head,327,293,369,344
flir_20200813T191320.jpg,1080,1440,head,404,175,560,365
flir_20200823T165646.jpg,1080,1440,head,780,221,995,474
flir_20200823T163239.jpg,1080,1440,head,826,131,954,281
flir_20200822T130504_002.jpg,480,640,head,132,53,218,146
flir_20200818T150409.jpg,640,480,head,317,83,356,126
137.jpg,480,640,head,230,165,329,255
3.jpg,960,1280,head,488,156,613,302
flir_20200822T132845_908.jpg,480,640,head,222,227,299,301
flir_20200824T113909.jpg,480,640,head,147,136,332,345
flir_20200825T115313.jpg,480,640,head,219,68,272,130
flir_20200825T115221.jpg,480,640,head,191,66,234,104
flir_20200825T115221.jpg,480,640,head,332,41,370,96
flir_20200818T150445.jpg,480,640,head,195,80,271,192
flir_20200823T165851.jpg,1080,1440,head,563,189,683,330
127.jpg,480,640,head,317,265,364,322
flir_20200818T144032.jpg,640,480,head,237,56,356,207
flir_20200822T133543_149.jpg,480,640,head,409,331,465,388
flir_20200822T131233_25.jpg,480,640,head,371,95,441,161
flir_20200822T132845_410.jpg,480,640,head,169,258,205,305
flir_20200822T132845_410.jpg,480,640,head,356,252,420,313
152..jpg,480,640,head,128,246,198,321
flir_20200822T130900_42.jpg,480,640,head,269,61,327,131
16.jpg,960,1280,head,474,518,578,664
flir_20200823T165850.jpg,1080,1440,head,501,231,591,344
165.jpg,480,640,head,366,3,469,101
147.jpg,480,640,head,277,138,321,195
flir_20200823T163145.jpg,1080,1440,head,485,125,627,297
30.jpg,960,1280,head,141,354,310,572
76.jpg,960,1280,head,240,203,656,711
65.jpg,960,1280,head,333,314,556,600
69.jpg,960,1280,head,203,140,486,499
flir_20200817T200838.jpg,640,480,head,222,35,397,269
flir_20200826T104017.jpg,1080,1440,head,380,107,739,563
flir_20200822T132845_235.jpg,480,640,head,354,111,412,182
flir_20200814T164959.jpg,1080,1440,head,10,387,186,598
flir_20200814T164959.jpg,1080,1440,head,330,169,574,463
110.jpg,1080,1440,head,422,525,661,822
133.jpg,480,640,head,110,117,259,306
flir_20200822T130504_115.jpg,480,640,head,164,114,227,188
flir_20200818T150349.jpg,640,480,head,469,182,496,214
flir_20200818T150349.jpg,640,480,head,347,154,367,183
flir_20200818T150349.jpg,640,480,head,264,87,306,138
flir_20200818T150349.jpg,640,480,head,246,92,264,133
101.jpg,960,1280,head,340,126,596,483
flir_20200814T165513.jpg,1080,1440,head,529,281,742,530
flir_20200822T131727_192.jpg,480,640,head,52,11,166,142
flir_20200822T131233_28.jpg,480,640,head,112,56,198,145
flir_20200822T131727_329.jpg,480,640,head,94,53,158,126
flir_20200827T145158.jpg,480,640,head,275,77,324,137
flir_20200822T131233_26.jpg,480,640,head,308,81,381,154
flir_20200813T191533.jpg,1080,1440,head,326,397,521,637
flir_20200822T131727_173.jpg,480,640,head,192,75,238,136
flir_20200822T131727_173.jpg,480,640,head,1,25,28,84
flir_20200813T193738.jpg,1080,1440,head,406,324,592,530
flir_20200823T163918.jpg,1080,1440,head,142,363,263,498
flir_20200823T163918.jpg,1080,1440,head,468,259,569,381
flir_20200822T132845_920.jpg,480,640,head,89,217,150,295
158.jpg,480,640,head,331,60,416,150
flir_20200822T132845_543.jpg,480,640,head,283,125,375,245
60.jpg,960,1280,head,318,468,614,863
28.jpg,960,1280,head,294,464,467,623
95.jpg,960,1280,head,360,1,688,284
126.jpg,480,640,head,237,60,347,200
flir_20200822T131404_41.jpg,480,640,head,253,48,307,126
124.jpg,480,640,head,119,97,220,238
flir_20200825T114656.jpg,480,640,head,383,257,464,321
flir_20200825T114656.jpg,480,640,head,198,245,254,309
99.jpg,960,1280,head,305,140,580,508
43.jpg,960,1280,head,36,391,278,661
flir_20200822T132845_326.jpg,480,640,head,3,250,88,344
flir_20200822T132845_411.jpg,480,640,head,192,269,242,327
flir_20200818T145605.jpg,480,640,head,147,71,327,287
flir_20200823T170114.jpg,1080,1440,head,486,206,603,345
flir_20200823T165814.jpg,1080,1440,head,438,245,571,412
flir_20200823T165814.jpg,1080,1440,head,163,245,279,357
flir_20200822T131233_98.jpg,480,640,head,20,49,83,118
flir_20200818T145916.jpg,640,480,head,35,109,152,239
flir_20200818T145916.jpg,640,480,head,523,155,595,244
flir_20200822T131654_19.jpg,480,640,head,1,89,56,160
flir_20200827T144954.jpg,480,640,head,173,65,261,179
flir_20200814T171828.jpg,1080,1440,head,232,47,507,363
flir_20200818T144156.jpg,640,480,head,391,53,589,292
flir_20200818T144156.jpg,640,480,head,601,236,640,308
flir_20200818T144643.jpg,640,480,head,291,84,341,161
9.jpg,960,1280,head,219,321,602,837
21.jpg,960,1280,head,1,300,175,498
flir_20200823T170113.jpg,1080,1440,head,539,177,638,300
flir_20200825T114719.jpg,480,640,head,111,171,198,306
flir_20200822T132845_542.jpg,480,640,head,365,124,444,228
flir_20200813T193743.jpg,1080,1440,head,348,283,526,506
flir_20200822T132845_785.jpg,480,640,head,31,225,98,306
flir_20200818T150141.jpg,640,480,head,110,78,309,320
flir_20200827T145209.jpg,640,480,head,275,107,353,193
flir_20200823T170341.jpg,1080,1440,head,432,1,644,260
flir_20200823T170341.jpg,1080,1440,head,33,109,179,313
flir_20200826T104043.jpg,1080,1440,head,441,85,670,376
45.jpg,960,1280,head,161,1,638,602
flir_20200823T161720.jpg,1080,1440,head,682,210,800,365
54.jpg,960,1280,head,425,484,626,769
flir_20200811T115028.jpg,1080,1440,head,426,51,614,293
flir_20200822T130504_013.jpg,480,640,head,112,73,155,122
flir_20200813T191322.jpg,1080,1440,head,685,74,874,292
166.jpg,480,640,head,7,209,70,285
flir_20200827T145251.jpg,480,640,head,194,64,330,247
flir_20200822T132845_244.jpg,480,640,head,342,80,418,176
flir_20200824T124954.jpg,480,640,head,118,114,247,263
flir_20200822T131233_27.jpg,480,640,head,224,78,301,160
flir_20200822T132353_433.jpg,480,640,head,139,144,197,230
flir_20200822T132845_409.jpg,480,640,head,218,271,250,313
flir_20200822T132845_409.jpg,480,640,head,373,271,427,331
flir_20200818T145702.jpg,480,640,head,255,124,302,187
89.jpg,960,1280,head,306,15,575,353
flir_20200625T164734.jpg,1440,1080,head,175,71,795,748
flir_20200822T130504_270.jpg,480,640,head,112,18,167,90
